,Gender,Country,Hired on,Terminated on,ACTION,Grade,Unnamed: 6,Unnamed: 7,Unnamed: 8,Ethnicity
311,F,2,03/06/2006,12/15/2015,1,1.0,,03/06/200612/15/2015,,White
312,M,2,11/24/2014,03/04/2016,1,1.0,,11/24/201403/04/2016,,White
313,M,2,04/13/2015,01/08/2016,1,1.0,,04/13/201501/08/2016,,White
314,M,2,11/28/2011,09/30/2016,1,1.0,,11/28/201109/30/2016,,White
315,M,2,01/13/2014,03/07/2016,1,1.0,,01/13/201403/07/2016,,White
316,M,2,09/22/2014,07/28/2016,2,1.0,,09/22/201407/28/2016,,White
317,M,1,10/05/2015,05/03/2016,1,1.0,,10/05/201505/03/2016,,White
318,F,2,09/05/2014,07/14/2016,1,1.0,,09/05/201407/14/2016,,White
319,F,1,01/18/2016,03/11/2016,1,1.0,,01/18/201603/11/2016,,White
320,M,2,02/22/2016,04/08/2016,1,1.0,,02/22/201604/08/2016,,White
321,F,2,07/11/2016,12/29/2016,1,1.0,,07/11/201612/29/2016,,White
322,M,2,08/22/2016,01/13/2017,1,1.0,,08/22/201601/13/2017,,White
323,M,2,08/02/2010,12/31/2015,1,1.0,,08/02/201012/31/2015,,White
